campaign,source_file,run_id,status,dataset_id,provider,model,trial,latency_ms,compile_pass,test_pass,coverage_pct,failure_type,failure_message,quality_score,assertion_count,test_count,trivial_flag,generation_time_ms,parse_ms,retrieval_ms,prompt_ms,llm_ms,postproc_ms,max_dependencies,timeout_seconds,model_short,dataset_family,full_success,compile_only,failed
benchmark_reftest_comparison_results,benchmark_reftest_comparison_results/results.json,run_48254346aaf5,ok,commons-cli-helpformatter,nvidia,meta/llama-3.3-70b-instruct,1,46210.0,True,True,,,,0.7241379310344828,35.0,29.0,False,81748.0,4.0,5751.0,4913.0,35540.0,0.0,5,300,llama-3.3-70b-instruct,commons,True,False,False
benchmark_reftest_comparison_results,benchmark_reftest_comparison_results/results.json,run_ee80419a5f92,ok,commons-cli-helpformatter,openrouter,google/gemini-2.0-flash-001,1,30370.0,True,True,,,,0.6171428571428571,36.0,35.0,False,51244.0,2.0,4751.0,4739.0,20876.0,0.0,5,300,gemini-2.0-flash-001,commons,True,False,False
benchmark_reftest_comparison_results,benchmark_reftest_comparison_results/results.json,run_bdca9a50aaf9,ok,commons-cli-options,nvidia,meta/llama-3.3-70b-instruct,1,72867.0,True,True,,,,0.864,36.0,25.0,False,136293.0,1.0,4622.0,4814.0,63428.0,0.0,5,300,llama-3.3-70b-instruct,commons,True,False,False
benchmark_reftest_comparison_results,benchmark_reftest_comparison_results/results.json,run_2e3608053d1e,ok,commons-cli-options,openrouter,google/gemini-2.0-flash-001,1,26260.0,True,True,,,,1.0,63.0,28.0,False,42986.0,0.0,4824.0,4702.0,16730.0,0.0,5,300,gemini-2.0-flash-001,commons,True,False,False
benchmark_reftest_comparison_results,benchmark_reftest_comparison_results/results.json,run_966bc7997502,ok,commons-collections4-collectionutils,nvidia,meta/llama-3.3-70b-instruct,1,207643.0,True,True,,,,0.7999999999999999,72.0,54.0,False,406426.0,5.0,4334.0,4513.0,198787.0,0.0,5,300,llama-3.3-70b-instruct,commons,True,False,False
benchmark_reftest_comparison_results,benchmark_reftest_comparison_results/results.json,run_fb2ed0282199,error,commons-collections4-collectionutils,openrouter,google/gemini-2.0-flash-001,1,0.0,False,False,,error,"Error code: 402 - {'error': {'message': 'Prompt tokens limit exceeded: 27309 > 24465. To increase, visit https://openrouter.ai/settings/credits and upgrade to a paid account', 'code': 402, 'metadata': {'provider_name': None}}, 'user_id': 'user_33CbN8yCwn3DwinVppWwwMyQzRA'}",0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,5,300,gemini-2.0-flash-001,commons,False,False,True
benchmark_reftest_comparison_results,benchmark_reftest_comparison_results/results.json,run_a02829b54c5a,ok,commons-dbutils-beanprocessor,nvidia,meta/llama-3.3-70b-instruct,1,59066.0,True,True,,,,1.0,27.0,8.0,False,109074.0,3.0,4506.0,4545.0,50010.0,0.0,5,300,llama-3.3-70b-instruct,commons,True,False,False
benchmark_reftest_comparison_results,benchmark_reftest_comparison_results/results.json,run_f1db594bf2b5,ok,commons-dbutils-beanprocessor,openrouter,google/gemini-2.0-flash-001,1,23870.0,True,True,,,,1.0,61.0,15.0,False,38511.0,1.0,4768.0,4456.0,14643.0,0.0,5,300,gemini-2.0-flash-001,commons,True,False,False
benchmark_reftest_comparison_results,benchmark_reftest_comparison_results/results.json,run_d2e43d5baa39,ok,commons-dbutils-dbutils,nvidia,meta/llama-3.3-70b-instruct,1,241406.0,True,True,,,,0.5225806451612903,27.0,31.0,False,478385.0,1.0,4422.0,0.0,236981.0,0.0,5,300,llama-3.3-70b-instruct,commons,True,False,False
benchmark_reftest_comparison_results,benchmark_reftest_comparison_results/results.json,run_69038f110b59,ok,commons-dbutils-dbutils,openrouter,google/gemini-2.0-flash-001,1,27181.0,True,True,,,,0.850909090909091,78.0,55.0,False,49615.0,1.0,4740.0,0.0,22437.0,0.0,5,300,gemini-2.0-flash-001,commons,True,False,False
